model_label,unit_id,evaluation,fold,temporal_ms,temporal_samples,spatial_support,n_channels,n_train_hits,n_test_hits,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_w96_om0_s0,2143,crossfit,1,2.0,60,top4,4,50,50,11.801311703934353,12.01424620567257,0.2129345017382178,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,2.0,60,top8,8,50,50,10.918822697464035,10.964243526753672,0.0454208292896343,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,2.0,60,top16,16,50,50,7.084322137334279,7.092708898414286,0.0083867610800068,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,2.0,60,top24,24,50,50,5.593923152578854,5.610750297687099,0.0168271451082455,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,endpoint,3,50,50,12.274311132341648,12.563577073257475,0.2892659409158291,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,top1,1,50,50,10.546046145204818,11.266259001178687,0.7202128559738714,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,top2,2,50,50,12.366444242987914,12.78532681982472,0.4188825768368058,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,top4,4,50,50,11.799170738438152,12.029924549036606,0.2307538105984541,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,top8,8,50,50,10.933124594265047,10.982778572898518,0.0496539786334704,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,top16,16,50,50,7.541733326075077,7.521664520600824,-0.0200688054742528,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,3.0,90,top24,24,50,50,5.947834578477487,5.936140451819977,-0.0116941266575096,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,endpoint,3,50,50,12.297232020741347,12.583121044533131,0.2858890237917837,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,top1,1,50,50,10.569302651254969,11.287601138476864,0.7182984872218974,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,top2,2,50,50,12.382791628137731,12.80164189747224,0.4188502693345075,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,top4,4,50,50,11.826458773615853,12.049427738819926,0.2229689652040747,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,top8,8,50,50,10.98607028881128,11.022641276792209,0.0365709879809266,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,top16,16,50,50,6.941601708288415,6.933815934001439,-0.007785774286976,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,4.0,120,top24,24,50,50,5.113656173107353,5.124258601097426,0.0106024279900731,0.9998999834060668,0.9998999834060668
ib_w96_om0_s0,94,in_sample,-1,0.5,15,endpoint,12,100,100,2.422512330351859,2.2875551609570195,-0.1349571693948394,0.955049991607666,0.9469500184059144
ib_w96_om0_s0,94,in_sample,-1,0.5,15,top1,1,100,100,2.481192303886184,2.3786091131599547,-0.1025831907262291,0.955049991607666,0.9490000009536744
ib_w96_om0_s0,94,in_sample,-1,0.5,15,top2,2,100,100,2.7893552286732195,2.643957851396872,-0.1453973772763475,0.970300018787384,0.963100016117096
ib_w96_om0_s0,94,in_sample,-1,0.5,15,top4,4,100,100,2.766056787337067,2.615447789868418,-0.1506089974686491,0.9693999886512756,0.963100016117096
ib_w96_om0_s0,94,in_sample,-1,0.5,15,top8,8,100,100,2.4923622946706683,2.3638499112308557,-0.1285123834398129,0.9577500224113464,0.9501000046730042
ib_w96_om0_s0,94,in_sample,-1,0.5,15,top16,16,100,100,2.2447693300214646,2.111067298702492,-0.1337020313189727,0.9474499821662904,0.9381999969482422
ib_w96_om0_s0,94,in_sample,-1,0.5,15,top24,24,100,100,1.8114163539149932,1.694901754941652,-0.1165145989733413,0.9118499755859376,0.8982499837875366
ib_w96_om0_s0,94,in_sample,-1,1.0,30,endpoint,12,100,100,2.4392118600690007,2.300299154495446,-0.1389127055735546,0.9570000171661376,0.9486500024795532
ib_w96_om0_s0,94,in_sample,-1,1.0,30,top1,1,100,100,2.490824552719028,2.376039157062367,-0.1147853956566606,0.95455002784729,0.9477999806404114
ib_w96_om0_s0,94,in_sample,-1,1.0,30,top2,2,100,100,2.7863404921358272,2.628759186838738,-0.1575813052970893,0.9689499735832214,0.9617499709129332
ib_w96_om0_s0,94,in_sample,-1,1.0,30,top4,4,100,100,2.777592682771075,2.611357530195468,-0.1662351525756071,0.9688000082969666,0.961899995803833
ib_w96_om0_s0,94,in_sample,-1,1.0,30,top8,8,100,100,2.5020884356897737,2.361085856129427,-0.1410025795603466,0.958899974822998,0.949899971485138
ib_w96_om0_s0,94,in_sample,-1,1.0,30,top16,16,100,100,2.244112047196332,2.112378755640314,-0.1317332915560181,0.9495999813079834,0.9398499727249146
ib_w96_om0_s0,94,in_sample,-1,1.0,30,top24,24,100,100,1.7801180731693316,1.6742146268188285,-0.1059034463505033,0.9132500290870668,0.8993499875068665
ib_w96_om0_s0,94,in_sample,-1,2.0,60,endpoint,12,100,100,2.3875918941244563,2.2404341408611974,-0.1471577532632588,0.9650499820709229,0.9569000005722046
ib_w96_om0_s0,94,in_sample,-1,2.0,60,top1,1,100,100,2.448878788457918,2.312043004247362,-0.1368357842105561,0.9541000127792358,0.9466500282287598
ib_w96_om0_s0,94,in_sample,-1,2.0,60,top2,2,100,100,2.749187077553879,2.574248543813899,-0.1749385337399798,0.9682999849319458,0.9605500102043152
ib_w96_om0_s0,94,in_sample,-1,2.0,60,top4,4,100,100,2.7695880078151114,2.5902667045025978,-0.1793213033125136,0.9701499938964844,0.9634000062942504
ib_w96_om0_s0,94,in_sample,-1,2.0,60,top8,8,100,100,2.517817806304419,2.364082404083874,-0.153735402220545,0.961549997329712,0.953499972820282
ib_w96_om0_s0,94,in_sample,-1,2.0,60,top16,16,100,100,2.103968739145293,1.9753927169555052,-0.128576022189788,0.9464499950408936,0.9359999895095824
ib_w96_om0_s0,94,in_sample,-1,2.0,60,top24,24,100,100,1.686094533727978,1.5956200220389476,-0.0904745116890304,0.9005500078201294,0.8880000114440918
ib_w96_om0_s0,94,in_sample,-1,3.0,90,endpoint,12,100,100,2.122102997621865,1.9844759664541616,-0.1376270311677039,0.9520999789237976,0.9413999915122986
ib_w96_om0_s0,94,in_sample,-1,3.0,90,top1,1,100,100,2.474052009978738,2.32343517722624,-0.1506168327524983,0.9556000232696532,0.9472000002861024
ib_w96_om0_s0,94,in_sample,-1,3.0,90,top2,2,100,100,2.771297183807842,2.5783511010248423,-0.1929460827829996,0.9689000248908995,0.9610499739646912
ib_w96_om0_s0,94,in_sample,-1,3.0,90,top4,4,100,100,2.7860637869733007,2.5939754481545823,-0.1920883388187184,0.9718000292778016,0.9635499715805054
ib_w96_om0_s0,94,in_sample,-1,3.0,90,top8,8,100,100,2.5475083094205564,2.3806029533062234,-0.166905356114333,0.9634000062942504,0.9543499946594238
ib_w96_om0_s0,94,in_sample,-1,3.0,90,top16,16,100,100,1.893408447049244,1.7778649849529458,-0.1155434620962978,0.9290500283241272,0.9185500144958496
