label,display_name,unit_id,weighted_dprime,unweighted_dprime,dprime_delta
ib_w2_gate300,Gate 300,2143,12.81674192852978,12.898838317482966,-0.08209638895318605
ib_w2_gate300,Gate 300,94,2.0422427568817825,2.0198732295875064,0.022369527294276104
ib_w2_gate300,Gate 300,337,0.1953629700050942,2.8560768051715804,-2.660713835166486
ib_w2_gate300,Gate 300,1143,5.154733004127887,5.135941213753494,0.018791790374392825
ib_w2_gate300,Gate 300,720,2.0213862846887327,2.0045049638530754,0.0168813208356573
ib_w2_gate300,Gate 300,664,0.9414584854399412,0.9554866666646246,-0.014028181224683411
ib_w2_gate300,Gate 300,1300,3.852216446808035,3.840112313193073,0.012104133614962098
ib_w2_gate300,Gate 300,1122,3.5858598449360453,3.6093884334071777,-0.023528588471132483
ib_w2_gate300,Gate 300,793,8.522655451295126,8.498280549351076,0.02437490194405001
ib_w2_gate300,Gate 300,1129,1.9138313051715232,1.851878872461057,0.06195243271046613
ib_w2_gate1000,Gate 1000,2143,12.741160679994838,12.898838317482966,-0.1576776374881277
ib_w2_gate1000,Gate 1000,94,2.0410867497159515,2.0198732295875064,0.02121352012844513
ib_w2_gate1000,Gate 1000,337,1.7137988996764102,2.8560768051715804,-1.1422779054951702
ib_w2_gate1000,Gate 1000,1143,5.157902447096963,5.135941213753494,0.02196123334346911
ib_w2_gate1000,Gate 1000,720,2.0111137116752307,2.0045049638530754,0.006608747822155259
ib_w2_gate1000,Gate 1000,664,0.9412024557365354,0.9554866666646246,-0.01428421092808918
ib_w2_gate1000,Gate 1000,1300,3.850873552256176,3.840112313193073,0.010761239063103112
ib_w2_gate1000,Gate 1000,1122,3.573816440192628,3.6093884334071777,-0.035571993214549735
ib_w2_gate1000,Gate 1000,793,8.36167709435892,8.498280549351076,-0.13660345499215687
ib_w2_gate1000,Gate 1000,1129,1.9015541768112891,1.851878872461057,0.04967530435023204
ib_w2_hard1000,Hard 1000,2143,12.568668542666344,12.898838317482966,-0.33016977481662124
ib_w2_hard1000,Hard 1000,94,2.034320045057392,2.0198732295875064,0.014446815469885799
ib_w2_hard1000,Hard 1000,337,2.83910877807936,2.8560768051715804,-0.01696802709222034
ib_w2_hard1000,Hard 1000,1143,5.048026127628649,5.135941213753494,-0.08791508612484478
ib_w2_hard1000,Hard 1000,720,1.9234783822072103,2.0045049638530754,-0.08102658164586507
ib_w2_hard1000,Hard 1000,664,0.914365457111086,0.9554866666646246,-0.041121209553538596
ib_w2_hard1000,Hard 1000,1300,3.68919808411649,3.840112313193073,-0.1509142290765828
ib_w2_hard1000,Hard 1000,1122,3.4883319712657825,3.6093884334071777,-0.1210564621413952
ib_w2_hard1000,Hard 1000,793,7.697779892190715,8.498280549351076,-0.8005006571603612
ib_w2_hard1000,Hard 1000,1129,1.8293467786771516,1.851878872461057,-0.022532093783905527
