domain,Th_learned,peel,accepted_events
raw_native,10.75,49,38
raw_native,10.75,50,34
raw_native,10.75,51,29
raw_native,10.75,52,29
raw_native,10.75,53,27
raw_native,10.75,54,27
raw_native,10.75,55,25
raw_native,10.75,56,24
raw_native,10.75,57,20
raw_native,10.75,58,18
raw_native,10.75,59,17
raw_native,10.75,60,18
raw_native,10.75,61,19
raw_native,10.75,62,18
raw_native,10.75,63,16
raw_native,10.75,64,15
raw_native,10.75,65,17
raw_native,10.75,66,17
raw_native,10.75,67,14
raw_native,10.75,68,14
raw_native,10.75,69,14
raw_native,10.75,70,13
raw_native,10.75,71,13
raw_native,10.75,72,14
raw_native,10.75,73,14
raw_native,10.75,74,12
raw_native,10.75,75,13
raw_native,10.75,76,13
raw_native,10.75,77,11
raw_native,10.75,78,12
raw_native,10.75,79,12
raw_native,10.75,80,13
raw_native,10.75,81,11
raw_native,10.75,82,11
raw_native,10.75,83,11
raw_native,10.75,84,11
raw_native,10.75,85,11
raw_native,10.75,86,10
raw_native,10.75,87,12
raw_native,10.75,88,10
raw_native,10.75,89,11
raw_native,10.75,90,11
raw_native,10.75,91,11
raw_native,10.75,92,11
raw_native,10.75,93,12
raw_native,10.75,94,10
raw_native,10.75,95,11
raw_native,10.75,96,10
raw_native,10.75,97,11
raw_native,10.75,98,11
raw_native,10.75,99,11
