domain,score_bin_left,score_bin_right,local_max_count
raw_native,15.200000000000001,15.3,178
raw_native,15.3,15.4,171
raw_native,15.4,15.5,178
raw_native,15.5,15.600000000000001,228
raw_native,15.600000000000001,15.700000000000001,213
raw_native,15.700000000000001,15.8,223
raw_native,15.8,15.9,185
raw_native,15.9,16.0,209
raw_native,16.0,16.1,203
raw_native,16.1,16.2,234
raw_native,16.2,16.3,212
raw_native,16.3,16.400000000000002,256
raw_native,16.400000000000002,16.5,241
raw_native,16.5,16.6,276
raw_native,16.6,16.7,256
raw_native,16.7,16.8,276
raw_native,16.8,16.900000000000002,283
raw_native,16.900000000000002,17.0,296
raw_native,17.0,17.1,307
raw_native,17.1,17.2,295
raw_native,17.2,17.3,313
raw_native,17.3,17.400000000000002,307
raw_native,17.400000000000002,17.5,359
raw_native,17.5,17.6,345
raw_native,17.6,17.7,352
raw_native,17.7,17.8,374
raw_native,17.8,17.900000000000002,408
raw_native,17.900000000000002,18.0,391
raw_native,18.0,18.1,402
raw_native,18.1,18.2,407
raw_native,18.2,18.3,401
raw_native,18.3,18.400000000000002,462
raw_native,18.400000000000002,18.5,404
raw_native,18.5,18.6,497
raw_native,18.6,18.7,502
raw_native,18.7,18.8,486
raw_native,18.8,18.900000000000002,489
raw_native,18.900000000000002,19.0,492
raw_native,19.0,19.1,505
raw_native,19.1,19.200000000000003,517
raw_native,19.200000000000003,19.3,492
raw_native,19.3,19.400000000000002,490
raw_native,19.400000000000002,19.5,567
raw_native,19.5,19.6,577
raw_native,19.6,19.700000000000003,560
raw_native,19.700000000000003,19.8,513
raw_native,19.8,19.900000000000002,536
raw_native,19.900000000000002,20.0,529
raw_native,20.0,25.0,37269
raw_native,25.0,30.0,62949
raw_native,30.0,40.0,114938
raw_native,40.0,inf,46864
