domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
raw_native,8.0,final_clustering,fp_matched_cluster,24,482,8.79271125793457,8.08991813659668,8.550052642822266,9.855610847473145
raw_native,8.0,final_clustering,fp_matched_cluster,25,388,8.710794448852539,8.07587718963623,8.515785217285156,9.707365989685059
raw_native,8.0,final_clustering,fp_matched_cluster,26,365,8.7155179977417,8.095878601074219,8.487805366516113,9.661014556884766
raw_native,8.0,final_clustering,fp_matched_cluster,27,229,8.702119827270508,8.059267044067383,8.506144523620605,9.58182430267334
raw_native,8.0,final_clustering,fp_matched_cluster,28,200,8.710027694702148,8.107288360595703,8.46125602722168,9.80563735961914
raw_native,8.0,final_clustering,fp_matched_cluster,29,173,8.641692161560059,8.073217391967773,8.473052024841309,9.570808410644531
raw_native,8.0,final_clustering,fp_matched_cluster,30,114,8.579472541809082,8.064438819885254,8.429435729980469,9.38577651977539
raw_native,8.0,final_clustering,fp_matched_cluster,31,96,8.581157684326172,8.09039306640625,8.406115531921387,9.298858642578125
raw_native,8.0,final_clustering,fp_matched_cluster,32,75,8.659684181213379,8.11925983428955,8.501933097839355,9.47464656829834
raw_native,8.0,final_clustering,fp_matched_cluster,33,68,8.661989212036133,8.078112602233887,8.530872344970703,9.390060424804688
raw_native,8.0,final_clustering,fp_matched_cluster,34,43,8.694308280944824,8.173091888427734,8.584877014160156,9.407848358154297
raw_native,8.0,final_clustering,fp_matched_cluster,35,44,8.630091667175293,8.066205978393555,8.478836059570312,9.346999168395996
raw_native,8.0,final_clustering,fp_matched_cluster,36,27,8.615541458129883,8.039978981018066,8.353656768798828,9.647412300109863
raw_native,8.0,final_clustering,fp_matched_cluster,37,30,8.478084564208984,8.038145065307617,8.334003448486328,8.926822662353516
raw_native,8.0,final_clustering,fp_matched_cluster,38,20,8.610428810119629,8.114191055297852,8.452571868896484,9.078096389770508
raw_native,8.0,final_clustering,fp_matched_cluster,39,21,8.849740028381348,8.161767959594727,8.411913871765137,10.599283218383789
raw_native,8.0,final_clustering,fp_matched_cluster,40,10,8.433335304260254,8.156432151794434,8.489109992980957,8.679014205932617
raw_native,8.0,final_clustering,fp_matched_cluster,41,10,8.475334167480469,8.052515983581543,8.29572868347168,8.97478199005127
raw_native,8.0,final_clustering,fp_matched_cluster,42,11,8.446043014526367,8.007086753845215,8.301255226135254,9.40809440612793
raw_native,8.0,final_clustering,fp_matched_cluster,43,5,8.595842361450195,8.058843612670898,8.606701850891113,9.119961738586426
raw_native,8.0,final_clustering,fp_matched_cluster,44,10,8.473525047302246,8.042417526245117,8.357271194458008,8.971105575561523
raw_native,8.0,final_clustering,fp_matched_cluster,45,7,8.594718933105469,8.281123161315918,8.366877555847168,9.05556869506836
raw_native,8.0,final_clustering,fp_matched_cluster,46,2,8.361071586608887,8.228180885314941,8.361071586608887,8.493962287902832
raw_native,8.0,final_clustering,fp_matched_cluster,47,5,8.459260940551758,8.131339073181152,8.532686233520508,8.773283958435059
raw_native,8.0,final_clustering,fp_matched_cluster,48,4,9.427300453186035,8.449642181396484,9.695686340332031,10.1902494430542
