domain,peel,tp_events,fp_events,matched_events,fp_fraction,fp_share,fp_cumulative
raw_native,24,470,481,951,0.5057833859095688,0.015510125112859539,0.9362504836837354
raw_native,25,325,388,713,0.544179523141655,0.012511285953824326,0.9487617696375598
raw_native,26,282,364,646,0.5634674922600619,0.01173739197729911,0.9604991616148588
raw_native,27,236,228,464,0.49137931034482757,0.0073519927769895525,0.9678511543918483
raw_native,28,163,200,363,0.5509641873278237,0.006449116471043467,0.9743002708628918
raw_native,29,133,173,306,0.565359477124183,0.005578485747452599,0.9798787566103444
raw_native,30,91,114,205,0.5560975609756098,0.0036759963884947762,0.9835547529988392
raw_native,31,77,96,173,0.5549132947976878,0.003095575906100864,0.9866503289049401
raw_native,32,67,75,142,0.528169014084507,0.0024184186766413,0.9890687475815814
raw_native,33,50,68,118,0.576271186440678,0.002192699600154779,0.9912614471817361
raw_native,34,34,43,77,0.5584415584415584,0.0013865600412743455,0.9926480072230105
raw_native,35,36,44,80,0.55,0.0014188056236295627,0.9940668128466401
raw_native,36,19,27,46,0.5869565217391305,0.0008706307235908681,0.994937443570231
raw_native,37,19,30,49,0.6122448979591837,0.0009673674706565201,0.9959048110408875
raw_native,38,11,20,31,0.6451612903225806,0.0006449116471043467,0.9965497226879918
raw_native,39,14,21,35,0.6,0.000677157229459564,0.9972268799174514
raw_native,40,7,10,17,0.5882352941176471,0.00032245582355217337,0.9975493357410036
raw_native,41,4,10,14,0.7142857142857143,0.00032245582355217337,0.9978717915645557
raw_native,42,6,11,17,0.6470588235294118,0.00035470140590739067,0.9982264929704632
raw_native,43,4,5,9,0.5555555555555556,0.00016122791177608669,0.9983877208822393
raw_native,44,6,10,16,0.625,0.00032245582355217337,0.9987101767057914
raw_native,45,3,7,10,0.7,0.00022571907648652134,0.9989358957822779
raw_native,46,4,2,6,0.3333333333333333,6.449116471043467e-05,0.9990003869469883
raw_native,47,2,5,7,0.7142857142857143,0.00016122791177608669,0.9991616148587644
raw_native,48,7,4,11,0.36363636363636365,0.00012898232942086933,0.9992905971881852
raw_native,49,2,3,5,0.6,9.6736747065652e-05,0.9993873339352509
raw_native,50,4,3,7,0.42857142857142855,9.6736747065652e-05,0.9994840706823166
raw_native,51,2,2,4,0.5,6.449116471043467e-05,0.999548561847027
raw_native,52,0,2,2,1.0,6.449116471043467e-05,0.9996130530117374
raw_native,53,2,2,4,0.5,6.449116471043467e-05,0.9996775441764478
raw_native,54,1,1,2,0.5,3.224558235521733e-05,0.9997097897588031
raw_native,55,0,0,0,0.0,0.0,0.9997097897588031
raw_native,56,0,1,1,1.0,3.224558235521733e-05,0.9997420353411584
raw_native,57,1,1,2,0.5,3.224558235521733e-05,0.9997742809235136
