domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90,score_margin_mean,score_margin_q10,score_margin_median,score_margin_q90,supported
denoised,8.0,duplicate_removal,fp_matched_cluster,50,618,8.426263809204102,8.048465728759766,8.31447982788086,8.955856323242188,0.42626380920410156,0.048465728759765625,0.3144798278808594,0.9558563232421875,True
denoised,8.0,duplicate_removal,fp_matched_cluster,51,622,8.432743072509766,8.05520248413086,8.313396453857422,8.920083999633789,0.4327430725097656,0.055202484130859375,0.3133964538574219,0.9200839996337891,True
denoised,8.0,duplicate_removal,fp_matched_cluster,52,528,8.405760765075684,8.045660018920898,8.301753997802734,8.88426399230957,0.4057607650756836,0.04566001892089844,0.3017539978027344,0.8842639923095703,True
denoised,8.0,duplicate_removal,fp_matched_cluster,53,454,8.386590003967285,8.050210952758789,8.271188735961914,8.821938514709473,0.38659000396728516,0.05021095275878906,0.27118873596191406,0.8219385147094727,True
denoised,8.0,duplicate_removal,fp_matched_cluster,54,462,8.391167640686035,8.044243812561035,8.270837783813477,8.860671997070312,0.39116764068603516,0.044243812561035156,0.27083778381347656,0.8606719970703125,True
denoised,8.0,duplicate_removal,fp_matched_cluster,55,355,8.401102066040039,8.05040168762207,8.276378631591797,8.891536712646484,0.40110206604003906,0.05040168762207031,0.2763786315917969,0.8915367126464844,True
denoised,8.0,duplicate_removal,fp_matched_cluster,56,339,8.348783493041992,8.038189888000488,8.241700172424316,8.734878540039062,0.3487834930419922,0.03818988800048828,0.2417001724243164,0.7348785400390625,True
denoised,8.0,duplicate_removal,fp_matched_cluster,57,294,8.349191665649414,8.030956268310547,8.231249809265137,8.85879898071289,0.34919166564941406,0.030956268310546875,0.23124980926513672,0.8587989807128906,True
denoised,8.0,duplicate_removal,fp_matched_cluster,58,223,8.321586608886719,8.04359245300293,8.215826988220215,8.737222671508789,0.32158660888671875,0.04359245300292969,0.21582698822021484,0.7372226715087891,True
denoised,8.0,duplicate_removal,fp_matched_cluster,59,210,8.388051986694336,8.042634010314941,8.250003814697266,8.89184856414795,0.38805198669433594,0.042634010314941406,0.2500038146972656,0.8918485641479492,True
denoised,8.0,duplicate_removal,fp_matched_cluster,60,199,8.329934120178223,8.035369873046875,8.220169067382812,8.757826805114746,0.32993412017822266,0.035369873046875,0.2201690673828125,0.7578268051147461,True
denoised,8.0,duplicate_removal,fp_matched_cluster,61,148,8.384889602661133,8.043549537658691,8.240714073181152,8.919058799743652,0.3848896026611328,0.043549537658691406,0.24071407318115234,0.9190587997436523,True
denoised,8.0,duplicate_removal,fp_matched_cluster,62,137,8.362265586853027,8.034483909606934,8.212003707885742,8.872977256774902,0.36226558685302734,0.034483909606933594,0.2120037078857422,0.8729772567749023,True
denoised,8.0,duplicate_removal,fp_matched_cluster,63,103,8.290972709655762,8.017481803894043,8.213507652282715,8.67829418182373,0.2909727096557617,0.01748180389404297,0.21350765228271484,0.6782941818237305,True
denoised,8.0,duplicate_removal,fp_matched_cluster,64,105,8.290791511535645,8.027946472167969,8.175895690917969,8.697338104248047,0.29079151153564453,0.02794647216796875,0.17589569091796875,0.6973381042480469,True
denoised,8.0,duplicate_removal,fp_matched_cluster,65,86,8.441843032836914,8.0606689453125,8.298871994018555,8.919532775878906,0.44184303283691406,0.0606689453125,0.2988719940185547,0.9195327758789062,False
denoised,8.0,duplicate_removal,fp_matched_cluster,66,94,8.325533866882324,8.03902530670166,8.204635620117188,8.823129653930664,0.3255338668823242,0.039025306701660156,0.2046356201171875,0.8231296539306641,False
denoised,8.0,duplicate_removal,fp_matched_cluster,67,62,8.410752296447754,8.028159141540527,8.312173843383789,8.949068069458008,0.4107522964477539,0.028159141540527344,0.31217384338378906,0.9490680694580078,False
denoised,8.0,duplicate_removal,fp_matched_cluster,68,64,8.355144500732422,8.029601097106934,8.249286651611328,8.874171257019043,0.3551445007324219,0.029601097106933594,0.24928665161132812,0.874171257019043,False
denoised,8.0,duplicate_removal,fp_matched_cluster,69,51,8.240599632263184,8.039907455444336,8.142330169677734,8.555403709411621,0.2405996322631836,0.03990745544433594,0.14233016967773438,0.5554037094116211,False
denoised,8.0,duplicate_removal,fp_matched_cluster,70,41,8.357172012329102,8.045680046081543,8.317279815673828,8.679935455322266,0.35717201232910156,0.04568004608154297,0.3172798156738281,0.6799354553222656,False
denoised,8.0,duplicate_removal,fp_matched_cluster,71,29,8.457045555114746,8.095621109008789,8.364805221557617,8.917468070983887,0.4570455551147461,0.09562110900878906,0.3648052215576172,0.9174680709838867,False
denoised,8.0,duplicate_removal,fp_matched_cluster,72,37,8.362576484680176,8.023205757141113,8.223733901977539,8.751827239990234,0.3625764846801758,0.02320575714111328,0.22373390197753906,0.7518272399902344,False
denoised,8.0,duplicate_removal,fp_matched_cluster,73,24,8.40352725982666,8.05744457244873,8.24742317199707,8.956442832946777,0.40352725982666016,0.05744457244873047,0.2474231719970703,0.9564428329467773,False
denoised,8.0,duplicate_removal,fp_matched_cluster,74,22,8.419341087341309,8.063039779663086,8.368593215942383,8.823225021362305,0.4193410873413086,0.06303977966308594,0.3685932159423828,0.8232250213623047,False
denoised,8.0,duplicate_removal,fp_matched_cluster,75,28,8.442290306091309,8.080638885498047,8.329405784606934,9.070633888244627,0.4422903060913086,0.08063888549804688,0.3294057846069336,1.0706338882446271,False
denoised,8.0,duplicate_removal,fp_matched_cluster,76,28,8.421557426452637,8.052863121032715,8.17979621887207,9.098690032958984,0.4215574264526367,0.052863121032714844,0.1797962188720703,1.0986900329589844,False
denoised,8.0,duplicate_removal,fp_matched_cluster,77,19,8.344366073608398,8.049964904785156,8.24865436553955,8.696884155273438,0.34436607360839844,0.04996490478515625,0.24865436553955078,0.6968841552734375,False
denoised,8.0,duplicate_removal,fp_matched_cluster,78,18,8.305184364318848,8.057578086853027,8.223674774169922,8.62127685546875,0.30518436431884766,0.057578086853027344,0.22367477416992188,0.62127685546875,False
denoised,8.0,duplicate_removal,fp_matched_cluster,79,10,8.217042922973633,8.056520462036133,8.166084289550781,8.36081600189209,0.2170429229736328,0.05652046203613281,0.16608428955078125,0.36081600189208984,False
denoised,8.0,duplicate_removal,fp_matched_cluster,80,12,8.383040428161621,8.087959289550781,8.281890869140625,8.811603546142578,0.3830404281616211,0.08795928955078125,0.281890869140625,0.8116035461425781,False
denoised,8.0,duplicate_removal,fp_matched_cluster,81,11,8.452498435974121,8.140684127807617,8.258925437927246,8.81501579284668,0.4524984359741211,0.1406841278076172,0.2589254379272461,0.8150157928466797,False
denoised,8.0,duplicate_removal,fp_matched_cluster,82,18,8.447607040405273,8.070128440856934,8.281094551086426,8.892255783081055,0.44760704040527344,0.0701284408569336,0.2810945510864258,0.8922557830810547,False
denoised,8.0,duplicate_removal,fp_matched_cluster,83,8,8.49624252319336,8.152243614196777,8.357255935668945,8.910553932189941,0.4962425231933594,0.15224361419677734,0.3572559356689453,0.9105539321899414,False
denoised,8.0,duplicate_removal,fp_matched_cluster,84,10,8.26673412322998,8.018115043640137,8.229108810424805,8.505475997924805,0.26673412322998047,0.01811504364013672,0.2291088104248047,0.5054759979248047,False
denoised,8.0,duplicate_removal,fp_matched_cluster,85,6,8.228878021240234,8.039507865905762,8.120166778564453,8.526958465576172,0.22887802124023438,0.03950786590576172,0.12016677856445312,0.5269584655761719,False
denoised,8.0,duplicate_removal,fp_matched_cluster,86,10,8.449371337890625,8.022003173828125,8.434887886047363,8.774463653564453,0.449371337890625,0.022003173828125,0.4348878860473633,0.7744636535644531,False
denoised,8.0,duplicate_removal,fp_matched_cluster,87,7,8.214510917663574,8.098503112792969,8.174270629882812,8.359688758850098,0.21451091766357422,0.09850311279296875,0.1742706298828125,0.35968875885009766,False
denoised,8.0,duplicate_removal,fp_matched_cluster,88,6,8.186288833618164,8.058887481689453,8.102989196777344,8.396989822387695,0.18628883361816406,0.058887481689453125,0.10298919677734375,0.3969898223876953,False
denoised,8.0,duplicate_removal,fp_matched_cluster,89,1,8.268559455871582,8.268559455871582,8.268559455871582,8.268559455871582,0.26855945587158203,0.26855945587158203,0.26855945587158203,0.26855945587158203,False
denoised,8.0,duplicate_removal,fp_matched_cluster,90,2,8.521368026733398,8.421399116516113,8.521368026733398,8.621337890625,0.5213680267333984,0.4213991165161133,0.5213680267333984,0.621337890625,False
