domain,sample_type,gt_unit_id,frame,top1_score,top2_score,winner_template,winner_margin
raw_native,gt,337.0,24059137,24.73411,22.352337,238,2.381773
raw_native,gt,1143.0,24030707,32.301502,27.230728,238,5.070774
raw_native,gt,1122.0,24045186,13.39698,12.896422,252,0.5005579
raw_native,background,,24064787,8.764234,8.280825,227,0.48340893
raw_native,background,,24065452,6.1190267,5.7451797,519,0.373847
raw_native,background,,24074370,7.7307935,7.18363,125,0.5471635
raw_native,background,,24076050,9.966833,8.650663,24,1.3161697
raw_native,background,,24078142,8.66044,4.4695377,146,4.1909027
raw_native,background,,24081362,30.230848,24.036133,316,6.1947155
raw_native,background,,24098855,11.112306,5.8341336,68,5.278172
raw_native,background,,24101291,15.516841,14.846927,215,0.66991425
raw_native,background,,24102559,4.848931,4.3534875,95,0.49544334
raw_native,gt,2143.0,24066800,26.096378,18.372398,124,7.72398
raw_native,gt,2143.0,24068896,25.192648,22.86356,176,2.3290882
raw_native,gt,2143.0,24087628,26.968239,19.529945,124,7.4382935
raw_native,gt,337.0,24073738,11.773059,10.533182,284,1.2398767
raw_native,gt,664.0,24078516,20.024881,16.8517,502,3.1731815
raw_native,gt,1122.0,24063244,18.597404,14.661252,39,3.9361525
raw_native,gt,1122.0,24083172,40.7072,28.132313,303,12.574886
raw_native,gt,793.0,24103088,21.030668,19.145542,112,1.8851261
raw_native,gt,1129.0,24090283,15.204083,14.202514,453,1.0015697
raw_native,background,,24123991,8.902734,6.581408,211,2.3213258
raw_native,background,,24125549,15.137216,13.020355,227,2.1168604
raw_native,background,,24143759,12.182575,10.979599,495,1.2029762
raw_native,background,,24150752,16.20312,13.117304,559,3.0858154
raw_native,background,,24153966,5.4182673,4.8151336,116,0.6031337
raw_native,background,,24160144,8.408635,6.9859924,332,1.4226427
raw_native,background,,24166167,23.886469,22.80716,290,1.0793095
raw_native,gt,2143.0,24129073,39.78051,28.280502,538,11.500008
raw_native,gt,1300.0,24130867,15.656939,15.626595,438,0.03034401
raw_native,gt,1300.0,24176932,18.304419,13.735736,507,4.5686827
raw_native,gt,1129.0,24139813,13.040604,10.688994,39,2.3516092
raw_native,background,,24180357,6.608509,5.4880013,174,1.1205077
