domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
denoised,8.0,detection_template,unmatched_cluster,97,251,9.249225616455078,8.033008575439453,8.244314193725586,10.15160846710205
denoised,8.0,detection_template,unmatched_cluster,98,232,9.420000076293945,8.026780128479004,8.288557052612305,10.338753700256348
denoised,8.0,detection_template,unmatched_cluster,99,211,9.397143363952637,8.04114818572998,8.352739334106445,10.19596004486084
denoised,8.0,detection_template,fp_matched_cluster,0,56,22.62654685974121,15.749146461486816,20.94609832763672,32.118980407714844
denoised,8.0,detection_template,fp_matched_cluster,1,176,19.59211540222168,15.365235328674316,18.947921752929688,22.71084976196289
denoised,8.0,detection_template,fp_matched_cluster,2,377,18.691558837890625,14.825108528137207,18.039487838745117,22.52120018005371
denoised,8.0,detection_template,fp_matched_cluster,3,651,17.981124877929688,14.247786521911621,17.779571533203125,21.759708404541016
denoised,8.0,detection_template,fp_matched_cluster,4,922,17.1610050201416,13.615728378295898,17.05258560180664,20.76584815979004
denoised,8.0,detection_template,fp_matched_cluster,5,1140,16.59687042236328,13.27933406829834,16.597980499267578,19.899394989013672
denoised,8.0,detection_template,fp_matched_cluster,6,1325,16.046432495117188,12.79133415222168,15.922985076904297,19.286699295043945
denoised,8.0,detection_template,fp_matched_cluster,7,1663,15.581149101257324,12.348636627197266,15.41379451751709,19.07438850402832
denoised,8.0,detection_template,fp_matched_cluster,8,1716,15.089292526245117,11.9698486328125,14.945955276489258,18.388843536376953
denoised,8.0,detection_template,fp_matched_cluster,9,1897,14.458657264709473,11.41370677947998,14.306580543518066,17.67180633544922
denoised,8.0,detection_template,fp_matched_cluster,10,2002,14.046896934509277,11.200148582458496,13.847028732299805,17.166784286499023
denoised,8.0,detection_template,fp_matched_cluster,11,2098,13.511800765991211,10.863811492919922,13.218332290649414,16.5321044921875
denoised,8.0,detection_template,fp_matched_cluster,12,2028,13.023872375488281,10.548576354980469,12.7352294921875,15.868106842041016
denoised,8.0,detection_template,fp_matched_cluster,13,2146,12.709268569946289,10.433526992797852,12.371811866760254,15.488065719604492
denoised,8.0,detection_template,fp_matched_cluster,14,2162,12.364738464355469,10.256380081176758,12.014100074768066,14.952964782714844
denoised,8.0,detection_template,fp_matched_cluster,15,2227,11.958858489990234,10.008596420288086,11.659689903259277,14.37331771850586
denoised,8.0,detection_template,fp_matched_cluster,16,2279,11.65401840209961,9.793597221374512,11.35184097290039,13.956263542175293
denoised,8.0,detection_template,fp_matched_cluster,17,2266,11.379549026489258,9.71232795715332,11.138993263244629,13.321601867675781
denoised,8.0,detection_template,fp_matched_cluster,18,2330,11.111804008483887,9.474821090698242,10.901437759399414,13.018104553222656
denoised,8.0,detection_template,fp_matched_cluster,19,2275,10.874547958374023,9.336944580078125,10.655611991882324,12.645502090454102
denoised,8.0,detection_template,fp_matched_cluster,20,2343,10.622382164001465,9.206282615661621,10.426438331604004,12.305571556091309
denoised,8.0,detection_template,fp_matched_cluster,21,2423,10.47579288482666,9.140542030334473,10.29442024230957,12.049518585205078
denoised,8.0,detection_template,fp_matched_cluster,22,2386,10.288522720336914,9.01089859008789,10.097148895263672,11.7559175491333
denoised,8.0,detection_template,fp_matched_cluster,23,2382,10.104848861694336,8.925140380859375,9.933581352233887,11.543252944946289
denoised,8.0,detection_template,fp_matched_cluster,24,2402,9.960262298583984,8.862469673156738,9.830488204956055,11.229862213134766
