domain,peel,fp_events,tp_events,matched_events,fp_fraction,fp_share,fp_cumulative
raw,35,1041,153,1194,0.871859296482412,0.018421844307986338,0.881399423100745
raw,36,902,116,1018,0.8860510805500982,0.015962059141021785,0.8973614822417668
raw,37,825,72,897,0.919732441471572,0.014599444336300412,0.9119609265780672
raw,38,720,84,804,0.8955223880597015,0.012741333238953087,0.9247022598170203
raw,39,626,75,701,0.8930099857346647,0.0110778813994231,0.9357801412164434
raw,40,616,50,666,0.924924924924925,0.010900918437770975,0.9466810596542143
raw,41,470,46,516,0.9108527131782945,0.008317259197649932,0.9549983188518643
raw,42,409,57,466,0.8776824034334764,0.007237785131571962,0.9622361039834363
raw,43,366,46,412,0.8883495145631068,0.006476844396467819,0.9687129483799041
raw,44,287,34,321,0.8940809968847352,0.005078836999416022,0.9737917853793201
raw,45,247,23,270,0.9148148148148149,0.0043709851528075175,0.9781627705321276
raw,46,177,18,195,0.9076923076923077,0.003132244421242634,0.9812950149533702
raw,47,190,17,207,0.9178743961352657,0.003362296271390398,0.9846573112247606
raw,48,108,9,117,0.9230769230769231,0.001911199985842963,0.9865685112106036
raw,49,124,10,134,0.9253731343283582,0.002194340724486365,0.98876285193509
raw,50,98,11,109,0.8990825688073395,0.0017342370241908369,0.9904970889592808
raw,51,83,8,91,0.9120879120879121,0.0014687925817126475,0.9919658815409934
raw,52,83,7,90,0.9222222222222223,0.0014687925817126475,0.9934346741227061
raw,53,57,6,63,0.9047619047619048,0.0010086888814171194,0.9944433630041232
raw,54,56,3,59,0.9491525423728814,0.0009909925852519068,0.9954343555893751
raw,55,44,2,46,0.9565217391304348,0.0007786370312693554,0.9962129926206444
raw,56,31,2,33,0.9393939393939394,0.0005485851811215912,0.9967615778017661
raw,57,24,0,24,1.0,0.00042471110796510293,0.9971862889097312
raw,58,22,3,25,0.88,0.0003893185156346777,0.9975756074253659
raw,59,17,2,19,0.8947368421052632,0.0003008370348086146,0.9978764444601744
raw,60,16,1,17,0.9411764705882353,0.00028314073864340195,0.9981595851988179
raw,61,21,1,22,0.9545454545454546,0.00037162221946946506,0.9985312074182874
raw,62,8,3,11,0.7272727272727273,0.00014157036932170098,0.998672777787609
raw,63,9,3,12,0.75,0.0001592666654869136,0.9988320444530959
raw,64,9,0,9,1.0,0.0001592666654869136,0.9989913111185829
raw,65,4,0,4,1.0,7.078518466085049e-05,0.9990620963032437
raw,66,4,1,5,0.8,7.078518466085049e-05,0.9991328814879046
raw,67,8,0,8,1.0,0.00014157036932170098,0.9992744518572263
raw,68,3,0,3,1.0,5.3088888495637866e-05,0.9993275407457219
raw,69,5,0,5,1.0,8.848148082606311e-05,0.999416022226548
raw,70,3,0,3,1.0,5.3088888495637866e-05,0.9994691111150437
raw,71,1,0,1,1.0,1.7696296165212622e-05,0.9994868074112088
raw,72,2,0,2,1.0,3.5392592330425244e-05,0.9995222000035392
raw,73,3,0,3,1.0,5.3088888495637866e-05,0.9995752888920348
raw,74,3,0,3,1.0,5.3088888495637866e-05,0.9996283777805305
raw,75,6,1,7,0.8571428571428571,0.00010617777699127573,0.9997345555575218
raw,76,2,0,2,1.0,3.5392592330425244e-05,0.9997699481498522
raw,77,3,1,4,0.75,5.3088888495637866e-05,0.9998230370383479
raw,78,2,0,2,1.0,3.5392592330425244e-05,0.9998584296306783
raw,79,0,0,0,0.0,0.0,0.9998584296306783
raw,80,2,1,3,0.6666666666666666,3.5392592330425244e-05,0.9998938222230087
raw,81,1,0,1,1.0,1.7696296165212622e-05,0.9999115185191739
raw,82,0,0,0,0.0,0.0,0.9999115185191739
raw,83,1,0,1,1.0,1.7696296165212622e-05,0.9999292148153391
raw,84,1,0,1,1.0,1.7696296165212622e-05,0.9999469111115044
raw,85,0,0,0,0.0,0.0,0.9999469111115044
raw,86,1,0,1,1.0,1.7696296165212622e-05,0.9999646074076696
raw,87,0,0,0,0.0,0.0,0.9999646074076696
raw,88,0,0,0,0.0,0.0,0.9999646074076696
raw,89,0,0,0,0.0,0.0,0.9999646074076696
raw,90,0,0,0,0.0,0.0,0.9999646074076696
raw,91,0,0,0,0.0,0.0,0.9999646074076696
raw,92,0,0,0,0.0,0.0,0.9999646074076696
raw,93,0,0,0,0.0,0.0,0.9999646074076696
raw,94,1,0,1,1.0,1.7696296165212622e-05,0.9999823037038348
raw,95,0,0,0,0.0,0.0,0.9999823037038348
raw,96,0,0,0,0.0,0.0,0.9999823037038348
raw,97,1,0,1,1.0,1.7696296165212622e-05,1.0
