domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,8,49221,16.618684768676758,14.905485153198242,16.323570251464844,18.697498321533203
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,9,29452,15.942723274230955,14.438849449157717,15.644670486450195,17.889301300048828
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,10,14409,15.490934371948242,14.09802532196045,15.221321105957031,17.248374938964844
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,11,5330,15.068680763244627,13.705817222595217,14.904717445373535,16.752656936645508
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,12,1941,14.343186378479004,13.272382736206056,14.242681503295898,15.498926162719728
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,13,47,14.868168830871582,13.905579566955566,14.8216552734375,15.930072784423828
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,3,1,23.66083526611328,23.66083526611328,23.66083526611328,23.66083526611328
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,4,1,19.96164894104004,19.96164894104004,19.96164894104004,19.96164894104004
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,5,1,18.814054489135746,18.814054489135746,18.814054489135746,18.814054489135746
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,6,3,16.188629150390625,15.63152313232422,16.01752281188965,16.814178466796875
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,7,2,16.184322357177734,16.001575469970703,16.184322357177734,16.367069244384766
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,8,4,16.122802734375,15.46119785308838,15.946695327758787,16.92529296875
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,9,2,15.091922760009766,15.022127151489258,15.091922760009766,15.161718368530272
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,10,2,14.652908325195312,14.601607322692873,14.652908325195312,14.70421028137207
raw_native_fdr,8.0,duplicate_removal,fp_matched_cluster,11,2,14.75299072265625,14.676809310913086,14.75299072265625,14.829172134399414
raw_native_fdr,8.0,duplicate_removal,tp,0,1472,27.533227920532227,25.66188240051269,27.399280548095703,29.647220611572266
raw_native_fdr,8.0,duplicate_removal,tp,1,7239,25.93973922729492,23.771684646606445,25.916240692138672,28.15608024597168
raw_native_fdr,8.0,duplicate_removal,tp,2,5985,24.601734161376957,21.037147521972656,24.853294372558597,27.509056091308597
raw_native_fdr,8.0,duplicate_removal,tp,3,4573,22.72684097290039,19.077205657958984,22.687864303588867,26.618410110473636
raw_native_fdr,8.0,duplicate_removal,tp,4,3991,20.675647735595703,17.8223819732666,19.685571670532227,25.196645736694336
raw_native_fdr,8.0,duplicate_removal,tp,5,3199,19.35194396972656,17.111398696899414,18.64841651916504,23.51621627807617
raw_native_fdr,8.0,duplicate_removal,tp,6,2153,18.43270301818848,16.373645782470703,17.980873107910156,20.8908805847168
raw_native_fdr,8.0,duplicate_removal,tp,7,1189,17.8345947265625,15.987476348876951,17.41944694519043,19.98211479187012
raw_native_fdr,8.0,duplicate_removal,tp,8,697,17.254688262939453,15.59487247467041,16.954973220825195,19.039291381835938
raw_native_fdr,8.0,duplicate_removal,tp,9,301,16.629262924194336,15.041754722595217,16.383333206176758,18.50156593322754
raw_native_fdr,8.0,duplicate_removal,tp,10,88,16.344226837158203,14.74077606201172,16.115581512451172,18.406206130981445
raw_native_fdr,8.0,duplicate_removal,tp,11,25,16.10162353515625,14.209023475646973,16.089187622070312,17.904979705810547
raw_native_fdr,8.0,duplicate_removal,tp,12,8,14.905149459838867,14.066192626953123,14.846267700195312,15.799903869628906
raw_native_fdr,8.0,duplicate_removal,removed_by_dedup,0,26,33.569034576416016,28.239200592041016,32.526641845703125,39.61553192138672
