domain,Th_learned,stage,gt_unit_id,cluster_id,agreement,tp,fn,fp,num_gt,num_tested,accuracy,precision,recall,cluster_is_refractory,cluster_contamination
denoised_native_fdr,8.0,cluster_merging,1300,-1,0.0,0,17843,0,17843,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,1122,-1,0.0,0,17880,0,17880,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,793,60,0.9580941766508777,17193,747,5,17940,17198,0.9580941766508777,0.9997092685195953,0.9583612040133779,1.0,0.0
denoised_native_fdr,8.0,cluster_merging,1129,-1,0.0,0,18065,0,18065,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,2143,66,0.9870337673802693,17889,233,2,18122,17891,0.9870337673802693,0.9998882119501425,0.9871426994812934,1.0,0.0
denoised_native_fdr,8.0,duplicate_removal,94,-1,0.0,0,17856,0,17856,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,337,-1,0.0,0,18023,0,18023,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,1143,-1,0.0,0,17981,0,17981,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,720,-1,0.0,0,17720,0,17720,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,664,-1,0.0,0,17936,0,17936,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,1300,-1,0.0,0,17843,0,17843,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,1122,-1,0.0,0,17880,0,17880,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,duplicate_removal,793,60,0.9582543752090068,17193,747,2,17940,17195,0.9582543752090068,0.9998836871183484,0.9583612040133779,1.0,0.0
denoised_native_fdr,8.0,duplicate_removal,1129,-1,0.0,0,18065,0,18065,0,0.0,0.0,0.0,,
